recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_127,Medium,Neutral,['Healthcare & NHS'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_712,Medium,Negative,['Pensions & National Insurance'],The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_183,Medium,Negative,['Trade & Brexit Issues'],The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_313,Medium,Very Negative,['Cost of Living & Economy'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_550,Medium,Negative,['Agriculture & Rural Affairs'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1009,Medium,Neutral,"['Cost of Living & Economy', 'Education & Schools']",The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_267,Medium,Negative,['Cost of Living & Economy'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_778,Medium,Positive,['Non-Actionable / Incoherent'],The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
rID_715,Medium,Mixed,['Local Campaign Support'],The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_547,Medium,Neutral,['Education & Schools'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_301,Medium,Negative,['Disability Rights & Access'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_1129,Medium,Positive,"['Healthcare & NHS', 'Business & Enterprise']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_738,Medium,Positive,['Local Campaign Support'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_965,Medium,Very Negative,"['Education & Schools', 'Crime & Community Safety']",The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_252,Medium,Positive,['Disability Rights & Access'],The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_869,Medium,Positive,['Local Government & Council Tax'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_175,Medium,Neutral,"[""Employment & Workers' Rights""]",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_50,Medium,Very Negative,"['Culture, Media & Sport']",The 'NIMBY' Homeowner,58,Female,Homeowner in a prosperous area,"Politically conservative, focused on local issues.","Polite but firm, well-written, and assertive.",Preserving her property value and the 'character' of her neighbourhood by opposing local developments.
rID_857,Long,Mixed,['Education & Schools'],The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_1185,Short,Very Negative,"['Education & Schools', 'Crime & Community Safety']",The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_872,Medium,Mixed,['Immigration & Asylum'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_1045,Medium,Very Positive,"['Childcare & Family Support', ""Employment & Workers' Rights""]",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_433,Medium,Very Negative,['Social Security & Benefits'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_389,Medium,Very Negative,['Environment & Climate Change'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_320,Medium,Negative,['Planning & Development'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_133,Medium,Very Positive,['Non-Actionable / Incoherent'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_804,Medium,Very Negative,['Social Security & Benefits'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_748,Medium,Neutral,['Consumer Rights & Issues'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_248,Medium,Mixed,['Social Security & Benefits'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_154,Medium,Positive,['Justice & Legal System'],The Arts Professional,41,Male,Works in a publicly funded theatre or gallery,Politically left-leaning.,"Articulate, passionate, and makes a case for the intrinsic value of culture.",Concern over arts funding cuts and the perceived devaluing of the cultural sector.
rID_22,Medium,Negative,['Social Security & Benefits'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_886,Medium,Very Positive,"['Healthcare & NHS', 'Energy & Utilities']",The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_554,Long,Very Positive,['Planning & Development'],The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_971,Medium,Very Negative,"['Disability Rights & Access', 'Healthcare & NHS']",The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_215,Long,Mixed,['Transportation & Infrastructure'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_355,Medium,Very Negative,['Non-Actionable / Incoherent'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_453,Medium,Positive,['Non-Actionable / Incoherent'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_891,Medium,Negative,"[""Employment & Workers' Rights"", 'Education & Schools']",The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_362,Medium,Positive,['Energy & Utilities'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_201,Medium,Very Negative,['Non-Actionable / Incoherent'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_737,Medium,Very Positive,['Energy & Utilities'],The Individual with a Strong Distrust of Authority,42,Male,"Varies, often self-employed",Believes in conspiracy theories and sees the government as an oppressive force.,"Accusatory, suspicious in tone, may link to esoteric websites.",A belief that they are uncovering a conspiracy or fighting a hidden injustice.
rID_202,Medium,Positive,['Social Security & Benefits'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_447,Medium,Positive,['Pensions & National Insurance'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_56,Short,Mixed,['Business & Enterprise'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_176,Medium,Negative,['Healthcare & NHS'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_807,Medium,Very Negative,['Pensions & National Insurance'],The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_1217,Medium,Negative,"['Planning & Development', 'Cost of Living & Economy', 'Justice & Legal System']",The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_938,Medium,Very Positive,"['Immigration & Asylum', 'Planning & Development']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_476,Medium,Negative,['Pensions & National Insurance'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_11,Medium,Very Negative,['Cost of Living & Economy'],The 'NIMBY' Homeowner,58,Female,Homeowner in a prosperous area,"Politically conservative, focused on local issues.","Polite but firm, well-written, and assertive.",Preserving her property value and the 'character' of her neighbourhood by opposing local developments.
rID_461,Medium,Mixed,['Healthcare & NHS'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_702,Medium,Very Positive,['Disability Rights & Access'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_994,Medium,Very Positive,"['Energy & Utilities', 'Pensions & National Insurance']",The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_1231,Medium,Positive,"['Transportation & Infrastructure', 'Trade & Brexit Issues', 'Immigration & Asylum']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_750,Short,Mixed,['Crime & Community Safety'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_1175,Long,Mixed,"[""Employment & Workers' Rights"", 'Non-Actionable / Incoherent']",The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_376,Medium,Negative,['Mental Health Services'],The Person in a Very Remote Rural Area,60,Female,Retired / Works from home,Tends to be self-reliant and skeptical of central government.,Polite but frustrated.,"A lack of basic services like broadband, public transport, or access to healthcare."
rID_410,Medium,Neutral,['Housing & Planning'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_588,Medium,Neutral,['Defence & National Security'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_729,Medium,Positive,['Local Campaign Support'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_140,Medium,Negative,['Pensions & National Insurance'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_1114,Medium,Very Positive,"['Cost of Living & Economy', 'Pensions & National Insurance']",The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_112,Medium,Mixed,['Consumer Rights & Issues'],The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_557,Short,Mixed,['Housing & Planning'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1210,Medium,Mixed,"['Planning & Development', 'Non-Actionable / Incoherent', 'Consumer Rights & Issues']",The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_1102,Medium,Negative,"['Animal Welfare', 'Childcare & Family Support']",The 'Too Busy to Engage' Entrepreneur,35,Female,Runs a successful start-up,Politically aware but feels she has no time to get involved; probably centrist.,"Concise, professional, and to the point.",A specific piece of regulation or policy directly threatens her business's viability.
rID_1089,Long,Neutral,"['Mental Health Services', 'Pensions & National Insurance']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_352,Medium,Very Negative,['Cost of Living & Economy'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_274,Medium,Negative,['Crime & Community Safety'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_386,Short,Very Positive,['Social Security & Benefits'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_519,Medium,Neutral,['Trade & Brexit Issues'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_412,Medium,Positive,['Environment & Climate Change'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_631,Medium,Neutral,['Immigration & Asylum'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_1167,Medium,Mixed,"['Taxation & Public Spending', 'Housing & Planning']",The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1069,Medium,Very Negative,"['Education & Schools', 'Foreign Affairs & International Development']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_148,Short,Positive,['Healthcare & NHS'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_848,Medium,Positive,['Housing & Planning'],The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_227,Medium,Very Negative,['Cost of Living & Economy'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_1079,Medium,Very Negative,"[""Employment & Workers' Rights"", 'Mental Health Services']",The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_269,Medium,Very Positive,['Education & Schools'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_160,Medium,Negative,['Cost of Living & Economy'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_467,Medium,Negative,['Foreign Affairs & International Development'],The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_665,Short,Negative,['Immigration & Asylum'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_600,Medium,Negative,['Healthcare & NHS'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_1141,Short,Mixed,"['Taxation & Public Spending', 'Crime & Community Safety']",The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_716,Medium,Neutral,['Crime & Community Safety'],The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
rID_499,Short,Positive,"[""Employment & Workers' Rights""]",The Arts Professional,41,Male,Works in a publicly funded theatre or gallery,Politically left-leaning.,"Articulate, passionate, and makes a case for the intrinsic value of culture.",Concern over arts funding cuts and the perceived devaluing of the cultural sector.
rID_1029,Medium,Very Positive,"['Energy & Utilities', 'Taxation & Public Spending']",The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
rID_513,Medium,Neutral,['Environment & Climate Change'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_1234,Medium,Neutral,"['Planning & Development', 'Energy & Utilities', 'Environment & Climate Change']",The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_597,Medium,Positive,['Environment & Climate Change'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_656,Medium,Neutral,['Agriculture & Rural Affairs'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_820,Medium,Neutral,['Environment & Climate Change'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_921,Medium,Mixed,"['Local Government & Council Tax', 'Immigration & Asylum']",The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_996,Long,Positive,"['Immigration & Asylum', 'Cost of Living & Economy']",The Long-Term Unemployed Individual,52,Male,Long-term unemployed,Feels abandoned by the system and has lost hope in politics.,Expresses a deep sense of despair and hopelessness.,A loss of all other avenues of support.
rID_931,Long,Very Negative,"['Pensions & National Insurance', 'Foreign Affairs & International Development']",The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
rID_604,Medium,Mixed,"[""Employment & Workers' Rights""]",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_400,Medium,Positive,['Healthcare & NHS'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_474,Medium,Very Positive,['Social Security & Benefits'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_798,Medium,Very Positive,['Energy & Utilities'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_717,Long,Negative,['Immigration & Asylum'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_465,Medium,Very Negative,['Consumer Rights & Issues'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_1075,Short,Mixed,"['Transportation & Infrastructure', 'Local Campaign Support']",The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_339,Medium,Mixed,"[""Employment & Workers' Rights""]",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_868,Long,Very Negative,['Housing & Planning'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
